geo_id,median_age,pct_male,pct_age2024,pct_age2534,pct_age3544,pct_age4554,pct_age5559,pct_age6064,pct_under18,pct_over65
1400000US53063004701,32.8,51.0,3.6,18.2,15.2,10.9,7.9,1.3,29.8,11.5
1400000US53063004702,41.8,46.8,4.5,13.4,12.9,11.5,6.7,7.1,21.7,21.6
1400000US53063004800,44.0,46.2,4.1,11.7,12.2,6.7,7.3,8.8,21.3,25.9
1400000US53063004900,43.2,50.6,7.9,11.2,10.5,10.4,7.1,7.8,19.4,23.9
1400000US53063005000,39.5,48.4,2.5,14.3,14.7,6.9,3.7,10.3,27.2,19.8
1400000US53063010101,52.8,52.9,2.5,9.5,10.9,16.3,7.7,10.5,13.1,28.8
1400000US53063010102,46.9,52.2,0.4,17.5,10.3,8.7,13.4,12.9,19.6,17.2
1400000US53063010201,43.7,53.7,4.4,11.0,18.4,11.8,8.0,5.3,17.5,21.2
1400000US53063010203,37.2,49.5,5.8,13.8,7.2,19.2,8.4,4.5,26.4,13.0
1400000US53063010204,43.1,45.2,1.3,3.2,15.3,14.7,4.8,6.4,31.6,20.3
1400000US53063010301,35.5,43.9,5.1,15.7,10.5,8.9,7.0,6.2,26.0,18.5
1400000US53063010303,47.3,48.9,2.4,4.8,15.9,11.5,6.6,11.9,23.2,21.6
1400000US53063010304,46.4,49.5,1.8,8.3,13.8,13.9,6.0,11.5,21.4,21.3
1400000US53063010305,40.1,55.1,6.9,8.9,15.3,13.8,7.9,5.1,24.9,14.7
1400000US53063010401,33.8,67.8,7.9,24.1,17.4,13.3,3.9,4.0,20.1,8.4
1400000US53063010403,41.2,48.0,2.7,13.3,15.6,11.9,8.3,8.4,22.6,15.6
1400000US53063010404,50.0,54.0,2.4,6.2,12.6,21.4,9.7,4.3,13.9,27.6
1400000US53063010504,45.7,50.5,2.6,3.7,14.8,12.2,7.9,9.9,26.3,20.7
1400000US53063010505,34.4,51.1,4.0,13.8,11.9,13.0,5.7,3.7,30.2,14.9
1400000US53063010506,46.6,50.9,7.3,7.4,11.1,9.9,7.3,9.1,20.8,25.0
1400000US53063010507,41.1,49.6,4.6,11.1,9.5,16.5,7.6,5.3,25.4,18.0
1400000US53063010508,40.7,51.8,4.9,4.0,18.3,9.2,6.3,9.7,30.4,13.1
1400000US53063010601,41.7,50.4,1.5,8.7,12.6,13.5,5.9,5.2,28.8,21.2
1400000US53063010603,50.1,51.1,4.8,9.0,10.1,13.4,7.7,8.0,20.3,24.9
1400000US53063010604,54.2,51.7,4.0,13.4,4.8,11.1,11.5,14.4,18.6,21.1
1400000US53063010701,37.5,49.4,1.4,8.8,17.1,15.4,6.7,3.8,34.4,10.7
1400000US53063010702,34.3,51.5,4.8,8.0,18.7,13.1,3.9,4.3,37.6,8.2
1400000US53063010800,36.8,42.7,14.5,12.3,10.5,9.7,4.3,13.2,14.6,15.7
1400000US53063010901,39.4,52.2,3.2,11.4,15.0,13.0,5.9,4.2,24.1,20.3
1400000US53063010902,20.6,47.7,15.5,5.4,7.0,10.8,2.6,3.0,15.0,9.9
1400000US53063011000,40.4,50.3,3.7,10.2,16.3,13.2,7.6,4.2,25.8,16.7
1400000US53063011102,31.5,48.6,9.3,22.0,9.9,10.0,6.6,3.6,22.9,13.0
1400000US53063011103,57.7,46.7,7.1,11.6,8.3,7.7,4.9,9.1,10.9,38.9
1400000US53063011104,28.6,36.0,13.3,21.7,9.5,4.2,5.0,6.1,18.4,17.4
1400000US53063011202,43.5,48.5,3.4,14.1,11.7,15.5,6.9,8.8,22.3,15.7
1400000US53063011203,31.2,48.1,9.0,21.0,9.5,6.8,4.0,5.4,24.7,17.1
1400000US53063011204,37.9,38.6,6.7,20.1,10.2,7.4,5.8,8.0,17.8,23.8
1400000US53063011301,46.6,45.9,5.0,11.4,13.0,11.9,3.2,5.1,17.2,31.6
1400000US53063011302,33.6,48.7,7.0,23.0,9.3,9.9,4.5,10.6,20.4,13.7
1400000US53063011400,42.3,50.1,4.5,15.6,9.9,19.3,7.4,5.2,24.8,13.0
1400000US53063011500,45.0,54.2,0.3,9.8,15.5,17.5,12.8,6.3,18.4,13.4
1400000US53063011600,37.5,48.4,5.2,13.8,12.9,11.3,7.8,7.5,24.3,14.5
1400000US53063011701,46.9,52.6,5.0,10.5,13.8,10.5,9.5,12.6,15.8,19.4
1400000US53063011702,28.6,47.2,10.6,21.5,9.7,11.2,5.1,5.1,25.2,9.9
1400000US53063011800,35.7,44.3,5.5,22.6,8.9,12.9,3.9,6.2,20.4,19.4
1400000US53063011900,32.9,47.8,4.4,21.9,13.1,10.0,2.9,3.0,25.5,15.6
1400000US53063012000,35.7,47.1,4.3,18.9,11.2,15.2,5.6,3.1,23.1,16.5
1400000US53063012100,36.9,54.0,4.3,13.2,20.8,6.2,8.0,6.3,24.7,13.7
1400000US53063012200,38.4,50.7,6.1,15.7,12.0,15.2,7.8,5.9,21.5,12.0
1400000US53063012300,36.0,44.4,10.5,17.3,10.5,10.5,6.6,7.3,20.2,15.7
1400000US53063012401,46.9,45.9,4.8,6.2,16.3,8.3,6.4,11.8,19.4,24.7
1400000US53063012402,41.0,49.3,3.9,8.8,13.6,12.4,8.6,7.3,26.6,16.4
1400000US53063012500,39.1,49.3,4.7,16.3,20.1,7.9,3.7,6.4,21.7,15.7
1400000US53063012600,34.7,50.8,6.9,22.6,9.3,11.9,7.3,6.5,19.4,14.4
1400000US53063012701,43.4,50.1,6.6,16.6,11.5,11.8,4.8,6.4,17.8,22.8
1400000US53063012702,32.0,51.7,5.9,14.0,13.1,10.2,5.5,3.2,31.6,14.2
1400000US53063012801,40.8,50.8,2.6,16.0,13.2,10.8,5.8,6.1,23.2,20.4
1400000US53063012802,41.8,47.8,4.5,10.7,14.5,13.3,7.3,6.7,21.4,19.1
1400000US53063012901,40.7,53.1,5.0,12.2,10.5,9.4,1.9,10.4,25.9,23.9
1400000US53063012902,36.9,50.9,7.4,12.2,15.5,13.3,5.7,2.9,25.2,16.4
1400000US53063013001,45.8,47.8,1.3,7.7,10.0,21.1,5.5,10.6,26.7,17.1
1400000US53063013002,35.4,47.8,10.4,17.9,10.6,15.1,3.1,6.1,15.0,16.1
1400000US53063013003,40.7,49.4,2.5,6.2,17.1,14.4,7.0,4.7,30.3,16.7
1400000US53063013101,36.8,52.6,6.2,19.9,17.7,8.0,6.3,8.2,19.8,13.1
1400000US53063013102,41.1,45.1,0.6,17.4,9.7,13.4,10.4,5.1,25.6,17.0
1400000US53063013201,43.6,51.9,2.9,12.4,15.4,9.7,12.4,6.4,20.2,19.8
1400000US53063013203,46.5,45.5,5.9,9.2,10.7,14.1,3.7,10.2,20.6,24.1
1400000US53063013204,36.6,48.4,1.8,8.7,16.8,15.8,3.6,3.9,34.6,13.2
1400000US53063013205,34.4,44.6,2.0,6.7,18.7,12.3,3.0,4.2,39.4,9.4
1400000US53063013300,48.1,51.7,5.4,5.8,11.6,11.3,11.6,13.4,22.0,15.5
1400000US53063013401,43.6,50.5,3.9,12.8,10.9,13.6,4.5,11.0,22.7,19.8
1400000US53063013501,57.3,48.6,0.8,9.7,8.1,14.4,7.2,18.5,15.5,25.7
1400000US53063013502,53.3,52.5,2.0,6.8,6.6,16.4,8.2,15.7,20.7,23.5
1400000US53063013503,40.9,49.0,1.0,12.5,16.0,15.3,4.0,9.4,25.6,15.4
1400000US53063013600,34.6,50.0,4.6,15.1,14.6,17.0,2.9,4.7,29.0,10.5
1400000US53063013700,35.5,51.6,10.0,19.6,12.5,12.4,7.4,8.5,17.2,11.2
1400000US53063013800,23.3,61.1,22.7,28.7,11.5,1.0,0.8,0.2,32.3,0.0
1400000US53063013900,39.8,52.2,5.2,16.8,16.3,13.6,10.1,4.8,19.1,12.0
1400000US53063014001,22.7,50.3,27.5,17.0,4.7,3.7,3.9,2.2,10.0,9.2
1400000US53063014002,24.1,46.0,29.5,14.2,9.1,5.7,4.5,3.0,20.2,9.2
1400000US53063014100,41.3,49.7,4.1,10.2,11.5,15.2,6.2,7.7,25.1,18.2
1400000US53063014200,44.7,48.0,7.7,8.2,12.5,10.7,7.5,13.2,17.6,17.7
1400000US53063014300,42.2,51.8,5.2,11.5,12.9,14.9,9.1,6.4,23.7,15.1
1400000US53063014400,38.2,53.6,2.5,15.7,13.2,14.0,8.3,6.1,25.0,12.9
1400000US53063014500,39.4,53.6,8.5,20.7,11.5,19.3,4.4,8.6,15.4,9.8
