geo_id,census_tract,median_house_value,gross_rent_median,pct_renter_occupied,pct_houseValue300k,pct_houseValue500k,pct_houseValue1M
1400000US53063001900,Census Tract 19; Spokane County; Washington,204700.0,1065.0,42.5,20.1,1.5,1.2
1400000US53063002000,Census Tract 20; Spokane County; Washington,160800.0,917.0,59.7,9.6,0.0,0.7
1400000US53063002100,Census Tract 21; Spokane County; Washington,180300.0,906.0,35.8,6.9,2.1,0.0
1400000US53063002300,Census Tract 23; Spokane County; Washington,161400.0,1015.0,34.8,13.6,7.6,0.0
1400000US53063002400,Census Tract 24; Spokane County; Washington,225600.0,833.0,88.0,0.0,6.1,6.1
1400000US53063002501,Census Tract 25.01; Spokane County; Washington,275000.0,750.0,76.9,1.8,39.7,0.0
1400000US53063002502,Census Tract 25.02; Spokane County; Washington,200600.0,965.0,71.2,17.5,0.0,0.0
1400000US53063002503,Census Tract 25.03; Spokane County; Washington,,2551.0,100.0,,,
1400000US53063002600,Census Tract 26; Spokane County; Washington,148700.0,884.0,54.0,5.6,1.0,0.0
1400000US53063002900,Census Tract 29; Spokane County; Washington,214600.0,1402.0,17.8,13.7,4.6,0.0
1400000US53063003000,Census Tract 30; Spokane County; Washington,164700.0,1065.0,37.0,3.2,0.5,1.9
1400000US53063003100,Census Tract 31; Spokane County; Washington,233100.0,1076.0,44.7,25.9,5.5,0.0
1400000US53063003200,Census Tract 32; Spokane County; Washington,176000.0,946.0,71.1,26.2,0.0,0.0
1400000US53063003500,Census Tract 35; Spokane County; Washington,382100.0,504.0,95.4,16.5,47.1,0.0
1400000US53063003601,Census Tract 36.01; Spokane County; Washington,355400.0,933.0,78.7,20.9,36.9,0.0
1400000US53063003602,Census Tract 36.02; Spokane County; Washington,202100.0,743.0,88.8,0.0,0.0,0.0
1400000US53063003800,Census Tract 38; Spokane County; Washington,218900.0,1031.0,53.8,17.2,3.6,0.0
1400000US53063003900,Census Tract 39; Spokane County; Washington,123700.0,1492.0,19.8,7.3,23.5,1.2
1400000US53063004001,Census Tract 40.01; Spokane County; Washington,274900.0,895.0,62.5,20.9,5.1,4.5
1400000US53063004002,Census Tract 40.02; Spokane County; Washington,307900.0,841.0,66.8,52.8,0.0,0.0
1400000US53063004100,Census Tract 41; Spokane County; Washington,370200.0,860.0,46.0,58.0,15.6,1.4
1400000US53063004200,Census Tract 42; Spokane County; Washington,387600.0,1229.0,13.6,44.1,24.5,0.9
1400000US53063004300,Census Tract 43; Spokane County; Washington,360000.0,1250.0,15.2,52.6,18.9,0.0
1400000US53063004400,Census Tract 44; Spokane County; Washington,275000.0,1274.0,32.1,21.3,7.3,6.0
1400000US53063004500,Census Tract 45; Spokane County; Washington,434400.0,1105.0,12.7,32.6,37.1,2.4
1400000US53063004601,Census Tract 46.01; Spokane County; Washington,272500.0,803.0,62.2,38.2,4.5,0.0
1400000US53063004602,Census Tract 46.02; Spokane County; Washington,257500.0,1234.0,11.3,20.9,0.9,1.5
1400000US53063004701,Census Tract 47.01; Spokane County; Washington,242500.0,954.0,22.5,22.7,0.0,2.5
1400000US53063004702,Census Tract 47.02; Spokane County; Washington,291400.0,1252.0,48.4,43.3,4.4,1.1
1400000US53063004800,Census Tract 48; Spokane County; Washington,315300.0,1138.0,47.6,50.0,6.1,0.0
1400000US53063004900,Census Tract 49; Spokane County; Washington,365400.0,1035.0,24.1,52.4,18.8,1.0
1400000US53063005000,Census Tract 50; Spokane County; Washington,381900.0,977.0,55.6,35.8,29.1,6.1
1400000US53063010101,Census Tract 101.01; Spokane County; Washington,402500.0,962.0,6.4,34.7,31.0,0.0
1400000US53063010102,Census Tract 101.02; Spokane County; Washington,353500.0,,5.5,33.2,24.9,4.0
1400000US53063010201,Census Tract 102.01; Spokane County; Washington,317000.0,,8.4,48.0,7.5,0.0
1400000US53063010203,Census Tract 102.03; Spokane County; Washington,368600.0,1037.0,4.4,62.5,13.9,0.0
1400000US53063010204,Census Tract 102.04; Spokane County; Washington,435000.0,,5.4,27.9,36.3,3.9
1400000US53063010301,Census Tract 103.01; Spokane County; Washington,241400.0,798.0,28.5,29.0,1.8,1.3
1400000US53063010303,Census Tract 103.03; Spokane County; Washington,361900.0,859.0,9.9,46.8,17.4,0.0
1400000US53063010304,Census Tract 103.04; Spokane County; Washington,251900.0,675.0,13.1,22.0,10.7,0.0
1400000US53063010305,Census Tract 103.05; Spokane County; Washington,356500.0,1094.0,5.8,53.0,17.5,0.0
1400000US53063010401,Census Tract 104.01; Spokane County; Washington,193000.0,1027.0,51.4,16.9,0.0,0.0
1400000US53063010403,Census Tract 104.03; Spokane County; Washington,298200.0,960.0,10.1,37.8,11.6,0.0
1400000US53063010404,Census Tract 104.04; Spokane County; Washington,312300.0,724.0,10.7,29.7,23.0,0.0
1400000US53063010504,Census Tract 105.04; Spokane County; Washington,287000.0,1211.0,6.9,31.0,12.2,3.0
1400000US53063010505,Census Tract 105.05; Spokane County; Washington,306400.0,1509.0,19.0,51.0,1.0,0.0
1400000US53063010506,Census Tract 105.06; Spokane County; Washington,346400.0,1052.0,48.9,56.6,15.4,0.0
1400000US53063010507,Census Tract 105.07; Spokane County; Washington,351500.0,1569.0,40.4,51.3,11.2,2.8
