geo_id,census_tract,median_age,pct_male,pct_age2024,pct_age2534,pct_age3544,pct_age4554,pct_age5559,pct_age6064,pct_under18,pct_over65
1400000US16055001003,Census Tract 10.03; Kootenai County; Idaho,46.6,51.1,5.5,9.2,13.1,18.7,3.9,12.8,16.2,19.7
1400000US16055001004,Census Tract 10.04; Kootenai County; Idaho,42.4,45.1,8.1,11.0,12.6,7.1,2.2,4.9,20.0,32.7
1400000US16055001100,Census Tract 11; Kootenai County; Idaho,49.9,52.6,4.0,6.1,11.5,12.3,11.8,11.6,18.1,22.4
1400000US16055001201,Census Tract 12.01; Kootenai County; Idaho,35.0,51.0,7.7,8.6,19.8,6.5,3.4,6.1,33.0,14.2
1400000US16055001202,Census Tract 12.02; Kootenai County; Idaho,41.6,44.8,6.9,15.7,12.3,9.8,7.1,7.4,21.6,18.8
1400000US16055001300,Census Tract 13; Kootenai County; Idaho,32.6,45.8,6.3,22.4,15.8,4.9,4.4,5.2,24.4,14.4
1400000US16055001400,Census Tract 14; Kootenai County; Idaho,41.6,53.8,6.5,19.9,9.9,13.0,13.2,6.1,11.4,15.1
1400000US16055001500,Census Tract 15; Kootenai County; Idaho,37.5,53.9,4.7,22.9,14.1,7.0,11.1,8.1,17.1,13.0
1400000US16055001600,Census Tract 16; Kootenai County; Idaho,38.5,48.7,6.9,17.3,14.7,11.6,7.9,5.7,17.6,15.8
1400000US16055001700,Census Tract 17; Kootenai County; Idaho,46.8,50.0,4.4,7.9,14.3,10.2,6.9,8.6,20.6,26.5
1400000US16055001801,Census Tract 18.01; Kootenai County; Idaho,51.5,46.7,1.1,4.4,9.7,12.6,4.3,7.5,24.8,34.6
1400000US16055001802,Census Tract 18.02; Kootenai County; Idaho,49.3,48.6,2.8,10.8,8.5,19.4,5.5,9.2,20.0,23.4
1400000US16055001901,Census Tract 19.01; Kootenai County; Idaho,56.1,51.0,1.5,6.2,6.1,9.5,10.4,10.7,19.5,34.2
1400000US16055001902,Census Tract 19.02; Kootenai County; Idaho,61.9,57.8,2.1,2.9,1.4,20.7,7.2,26.5,4.5,32.4
1400000US16055002000,Census Tract 20; Kootenai County; Idaho,50.7,47.7,3.4,3.0,11.0,13.6,11.2,14.6,20.7,20.0
1400000US16055940000,Census Tract 9400; Kootenai County; Idaho,55.8,52.8,3.0,7.2,9.2,10.1,10.0,10.0,17.8,31.5
