geo_id,median_house_value,gross_rent_median,pct_renter_occupied,pct_houseValue300k,pct_houseValue500k,pct_houseValue1M
1400000US53063010201,317000.0,,8.4,48.0,7.5,0.0
1400000US53063010203,368600.0,1037.0,4.4,62.5,13.9,0.0
1400000US53063010204,435000.0,,5.4,27.9,36.3,3.9
1400000US53063010301,241400.0,798.0,28.5,29.0,1.8,1.3
1400000US53063010303,361900.0,859.0,9.9,46.8,17.4,0.0
1400000US53063010304,251900.0,675.0,13.1,22.0,10.7,0.0
1400000US53063010305,356500.0,1094.0,5.8,53.0,17.5,0.0
1400000US53063010401,193000.0,1027.0,51.4,16.9,0.0,0.0
1400000US53063010403,298200.0,960.0,10.1,37.8,11.6,0.0
1400000US53063010404,312300.0,724.0,10.7,29.7,23.0,0.0
1400000US53063010504,287000.0,1211.0,6.9,31.0,12.2,3.0
1400000US53063010505,306400.0,1509.0,19.0,51.0,1.0,0.0
1400000US53063010506,346400.0,1052.0,48.9,56.6,15.4,0.0
1400000US53063010507,351500.0,1569.0,40.4,51.3,11.2,2.8
1400000US53063010508,520000.0,1164.0,19.6,37.1,48.3,4.4
1400000US53063010601,294700.0,1254.0,16.2,37.4,10.6,0.0
1400000US53063010603,341600.0,960.0,25.1,48.8,16.2,0.0
1400000US53063010604,331300.0,1595.0,11.6,47.4,14.5,0.0
1400000US53063010701,375100.0,,6.5,48.0,24.0,1.2
1400000US53063010702,375400.0,2071.0,17.3,46.4,27.0,1.1
1400000US53063010800,249700.0,861.0,60.5,18.8,0.5,1.3
1400000US53063010901,256400.0,1250.0,8.2,27.5,1.2,0.0
1400000US53063010902,348900.0,1663.0,20.4,46.2,20.0,0.0
1400000US53063011000,225600.0,1145.0,32.2,12.7,1.3,0.7
1400000US53063011102,246700.0,1001.0,71.0,24.5,1.2,0.0
1400000US53063011103,200000.0,820.0,76.7,19.8,5.7,0.0
1400000US53063011104,152700.0,1056.0,73.1,0.0,0.0,0.0
1400000US53063011202,268000.0,1148.0,10.2,27.4,11.7,0.9
1400000US53063011203,216800.0,1035.0,76.2,13.0,0.0,0.0
1400000US53063011204,215500.0,1153.0,36.8,28.9,0.0,0.0
1400000US53063011301,315800.0,1099.0,17.1,44.0,10.8,0.0
1400000US53063011302,360400.0,1105.0,41.6,57.0,8.9,2.7
1400000US53063011400,255100.0,1111.0,21.0,17.8,5.5,8.6
1400000US53063011500,192900.0,1099.0,18.1,15.3,2.3,1.5
1400000US53063011600,226600.0,900.0,33.1,19.8,2.5,2.3
1400000US53063011701,203200.0,738.0,40.4,7.6,3.2,0.0
1400000US53063011702,255500.0,1018.0,78.8,19.8,3.8,0.1
1400000US53063011800,232900.0,1026.0,82.5,12.0,3.1,0.0
1400000US53063011900,230700.0,1109.0,71.5,16.1,2.6,0.0
1400000US53063012000,220500.0,832.0,42.2,20.1,0.0,0.0
1400000US53063012100,183800.0,1111.0,35.5,9.0,0.0,0.0
1400000US53063012200,169400.0,943.0,25.8,12.3,1.5,0.0
1400000US53063012300,170000.0,995.0,42.2,19.3,1.1,0.0
1400000US53063012401,366300.0,3000.0,14.4,58.2,13.3,2.2
1400000US53063012402,393900.0,1311.0,16.0,62.3,19.3,0.6
1400000US53063012500,215900.0,979.0,58.4,8.9,2.0,0.0
1400000US53063012600,235200.0,840.0,28.1,18.5,0.6,0.0
1400000US53063012701,250100.0,1082.0,46.9,13.9,2.0,0.0
1400000US53063012702,247500.0,1205.0,10.6,29.5,2.4,0.0
1400000US53063012801,273700.0,786.0,31.5,32.6,2.4,1.0
1400000US53063012802,276400.0,1253.0,25.7,37.0,0.0,0.0
1400000US53063012901,223800.0,1375.0,34.9,16.2,3.5,0.0
1400000US53063012902,257900.0,1219.0,21.9,28.4,5.4,0.0
1400000US53063013001,338300.0,,9.5,50.8,16.5,0.0
