geo_id,pct_high_school,pct_some_college,pct_associate,pct_bachelor,pct_graduate,pct_diff_state,pct_foreign_born,unemploy_rate,pct_below_poverty,median_house_value,gross_rent_median,pct_renter_occupied,pct_houseValue300k,pct_houseValue500k,pct_houseValue1M,median_age,pct_male,pct_age2024,pct_age2534,pct_age3544,pct_age4554,pct_age5559,pct_age6064,pct_under18,pct_over65
1400000US16055001202,25.6,29.0,22.8,13.0,5.1,4.7,3.3,1.6,15.7,2.079,8.42,42.2,9.5,0.0,0.0,41.6,44.8,6.9,15.7,12.3,9.8,7.1,7.4,21.6,18.8
1400000US16055001300,34.0,26.2,14.4,15.2,2.4,3.1,1.6,4.6,18.6,2.39,10.95,44.3,26.1,2.7,0.0,32.6,45.8,6.3,22.4,15.8,4.9,4.4,5.2,24.4,14.4
1400000US16055001400,18.8,34.2,8.3,20.0,12.2,11.2,2.9,5.5,16.1,3.419,11.6,53.3,22.5,29.6,5.0,41.6,53.8,6.5,19.9,9.9,13.0,13.2,6.1,11.4,15.1
1400000US16055001500,32.5,26.6,7.3,19.5,7.4,17.0,1.2,3.6,7.7,2.99,10.27,48.1,41.4,7.0,1.2,37.5,53.9,4.7,22.9,14.1,7.0,11.1,8.1,17.1,13.0
1400000US16055001600,19.6,26.6,7.0,29.9,12.3,6.5,5.9,3.3,9.3,4.047,9.91,40.2,24.6,20.7,14.9,38.5,48.7,6.9,17.3,14.7,11.6,7.9,5.7,17.6,15.8
1400000US16055001700,22.1,23.7,11.0,21.2,19.7,2.9,2.0,1.8,5.7,4.864,8.31,26.6,34.9,36.1,10.9,46.8,50.0,4.4,7.9,14.3,10.2,6.9,8.6,20.6,26.5
1400000US16055001801,10.0,27.2,14.3,28.4,19.5,9.7,1.7,3.0,5.7,5.562,17.45,5.9,33.9,45.0,11.8,51.5,46.7,1.1,4.4,9.7,12.6,4.3,7.5,24.8,34.6
1400000US16055001802,21.8,30.2,9.9,21.8,14.6,9.4,4.1,0.5,1.6,4.14,11.09,16.8,47.3,30.2,6.0,49.3,48.6,2.8,10.8,8.5,19.4,5.5,9.2,20.0,23.4
1400000US16055001901,42.5,19.0,9.2,23.2,3.7,4.6,2.2,0.0,11.6,4.044,9.05,6.6,52.4,9.2,2.9,56.1,51.0,1.5,6.2,6.1,9.5,10.4,10.7,19.5,34.2
1400000US16055001902,27.8,18.3,5.7,15.9,29.8,3.5,7.8,4.9,3.2,4.7,7.44,6.6,42.7,36.6,3.1,61.9,57.8,2.1,2.9,1.4,20.7,7.2,26.5,4.5,32.4
1400000US16055002000,16.0,24.0,9.9,25.8,21.3,5.5,0.6,7.0,3.9,5.945,12.26,9.1,13.3,45.5,13.6,50.7,47.7,3.4,3.0,11.0,13.6,11.2,14.6,20.7,20.0
1400000US16055940000,27.6,27.4,9.0,18.8,9.8,1.8,2.7,5.7,15.3,3.518,6.95,14.7,34.6,17.5,8.3,55.8,52.8,3.0,7.2,9.2,10.1,10.0,10.0,17.8,31.5
1400000US53063000201,36.5,27.4,12.9,10.2,4.1,2.1,8.7,4.1,16.4,1.605,9.22,48.5,4.3,2.1,0.4,39.9,53.0,4.3,13.6,13.8,17.9,4.3,7.9,20.9,14.4
1400000US53063000202,24.1,38.0,16.1,10.1,6.4,5.9,4.4,14.8,27.9,1.731,8.14,49.2,0.0,3.3,3.6,28.1,58.4,9.2,18.1,3.7,12.8,5.3,8.2,23.1,10.6
1400000US53063000301,38.1,25.5,9.9,12.3,4.9,0.6,7.3,7.1,20.3,1.553,11.35,34.7,0.0,0.0,0.0,35.4,53.6,9.3,15.8,18.5,8.0,6.2,8.5,23.1,10.6
1400000US53063000302,25.5,35.9,12.0,9.9,3.0,0.3,10.2,2.7,23.1,1.566,12.73,26.7,4.6,0.0,5.7,33.5,49.9,5.7,14.1,15.3,12.6,4.3,8.1,31.2,7.4
1400000US53063000400,30.2,40.0,10.0,5.3,5.8,2.9,8.5,12.3,17.1,1.659,9.08,60.1,2.4,1.1,0.0,33.6,48.7,4.7,22.9,12.9,10.2,4.1,9.0,23.4,10.7
1400000US53063000500,37.2,23.4,14.3,13.4,5.6,1.2,4.7,5.5,12.0,1.798,10.76,33.7,9.2,2.4,1.2,37.3,49.5,5.8,16.4,13.7,12.4,7.1,5.0,23.9,14.4
1400000US53063000600,28.6,25.4,17.4,15.8,4.3,1.1,4.2,4.6,12.0,1.794,11.02,30.6,4.5,2.3,0.7,33.0,53.6,6.0,20.9,14.5,11.6,4.2,7.9,22.1,10.9
1400000US53063000700,17.3,35.7,12.9,18.4,6.3,0.0,0.6,7.7,7.2,1.827,11.68,26.2,6.2,1.8,1.2,33.1,48.4,9.0,18.1,11.3,11.6,5.0,7.7,22.9,11.8
1400000US53063000800,19.8,26.2,13.0,23.9,13.9,1.4,2.0,7.1,5.0,2.722,12.28,10.5,34.2,6.0,0.0,43.1,48.2,3.8,11.4,11.3,11.7,7.5,6.2,22.2,23.6
1400000US53063000900,31.6,25.5,10.4,20.0,4.6,1.6,1.1,6.3,16.4,2.325,11.59,27.5,10.6,0.0,0.0,43.5,47.3,3.9,8.6,12.5,14.4,6.3,10.3,24.4,17.3
1400000US53063001000,19.1,27.5,12.3,19.5,12.2,3.0,1.3,3.1,5.3,2.219,13.79,16.3,10.0,1.6,0.0,43.7,48.8,1.2,9.8,17.1,15.9,5.3,10.3,23.6,16.4
1400000US53063001100,17.9,26.4,12.5,27.7,10.5,0.2,5.5,1.4,4.0,2.403,12.05,12.5,26.0,2.1,2.1,35.5,47.9,1.3,23.5,11.6,12.5,6.6,6.3,23.3,13.8
1400000US53063001200,26.2,34.9,13.9,17.8,4.3,0.4,4.0,3.7,10.5,1.974,12.25,44.7,16.1,0.9,0.0,33.9,48.5,10.3,19.2,11.8,15.4,4.2,5.4,21.0,11.8
1400000US53063001300,24.6,29.9,17.6,10.8,7.2,1.3,2.0,5.3,16.5,1.895,9.46,43.4,11.3,0.0,0.0,37.7,49.3,7.8,18.4,16.7,11.9,3.3,9.1,18.8,12.5
1400000US53063001400,32.4,24.5,12.5,13.5,5.2,6.4,12.2,8.7,20.4,1.58,10.33,42.7,0.9,1.0,0.0,30.6,49.4,5.7,24.6,13.7,8.7,5.2,3.3,27.2,8.7
1400000US53063001500,28.6,22.9,15.7,10.5,9.7,4.2,1.7,4.3,16.5,1.626,12.46,30.3,5.9,2.3,0.0,37.7,52.0,5.1,14.0,15.6,15.6,3.9,5.8,24.8,14.3
