geo_id,census_tract,pct_high_school,pct_some_college,pct_associate,pct_bachelor,pct_graduate,pct_same_house,pct_diff_house,pct_diff_house_us,pct_same_county,pct_diff_county,pct_diffCounty_sState,pct_diff_state,pct_abroad,pct_native,pct_foreign_born,unemploy_rate,pct_below_poverty,median_house_value,gross_rent_median,pct_renter_occupied,pct_houseValue300k,pct_houseValue500k,pct_houseValue1M,median_age,pct_male,pct_age2024,pct_age2534,pct_age3544,pct_age4554,pct_age5559,pct_age6064,pct_under18,pct_over65
1400000US16055000703,Census Tract 7.03; Kootenai County; Idaho,18.3,23.7,17.9,20.1,17.6,73.6,26.4,24.8,5.2,19.7,1.8,17.8,1.6,99.6,0.4,1.7,6.3,341200.0,1459.0,28.7,44.2,17.5,0.0,34.6,47.6,7.5,15.6,13.4,15.1,1.3,6.3,26.5,13.2
1400000US16055000704,Census Tract 7.04; Kootenai County; Idaho,24.8,36.8,11.2,14.0,7.2,88.0,12.0,12.0,2.8,9.1,0.0,9.1,0.0,92.2,7.8,1.5,3.1,362800.0,1722.0,22.6,37.7,24.4,0.0,37.5,53.5,4.6,11.7,23.0,11.5,6.3,4.5,28.7,8.8
1400000US16055000800,Census Tract 8; Kootenai County; Idaho,26.8,35.3,11.7,14.1,8.7,86.1,13.9,13.9,5.1,8.8,2.5,6.3,0.0,99.1,0.9,3.5,7.5,365900.0,1100.0,40.0,46.0,17.0,4.6,49.0,48.4,6.4,14.9,7.7,12.0,7.1,7.0,14.7,27.4
1400000US16055000901,Census Tract 9.01; Kootenai County; Idaho,34.6,27.3,10.0,12.9,1.6,75.2,24.8,24.8,22.0,2.7,0.2,2.5,0.0,94.4,5.6,5.0,14.4,135500.0,932.0,77.7,8.8,0.0,0.0,28.7,52.6,17.4,16.3,11.1,10.2,2.2,1.4,18.8,21.3
1400000US16055000902,Census Tract 9.02; Kootenai County; Idaho,30.9,36.5,5.9,7.8,5.5,85.4,14.6,14.6,10.3,4.2,0.6,3.6,0.0,97.3,2.7,1.8,22.8,242900.0,885.0,75.6,37.5,9.1,0.0,50.1,52.9,4.3,16.5,11.7,7.8,7.6,4.9,12.0,32.0
1400000US16055001002,Census Tract 10.02; Kootenai County; Idaho,25.5,28.4,8.1,24.5,11.4,87.2,12.8,12.6,4.1,8.5,0.0,8.5,0.2,96.9,3.1,6.6,6.1,372800.0,1066.0,10.8,38.5,27.9,0.6,45.1,48.8,5.8,8.5,11.7,12.3,11.9,7.6,20.1,18.3
1400000US16055001003,Census Tract 10.03; Kootenai County; Idaho,21.9,26.5,8.8,30.6,6.3,92.5,7.5,7.1,6.8,0.3,0.0,0.3,0.4,96.6,3.4,0.4,6.4,307000.0,413.0,18.8,31.2,20.7,0.0,46.6,51.1,5.5,9.2,13.1,18.7,3.9,12.8,16.2,19.7
1400000US16055001004,Census Tract 10.04; Kootenai County; Idaho,26.2,31.2,10.2,23.2,3.7,78.3,21.7,20.3,15.9,4.4,0.1,4.2,1.3,96.3,3.7,1.0,7.7,262100.0,1360.0,24.5,24.6,5.3,0.0,42.4,45.1,8.1,11.0,12.6,7.1,2.2,4.9,20.0,32.7
1400000US16055001100,Census Tract 11; Kootenai County; Idaho,22.7,24.3,11.9,18.5,13.8,90.7,9.3,9.3,5.0,4.3,3.3,1.0,0.0,97.6,2.4,1.4,4.4,441400.0,712.0,24.1,52.2,28.0,5.9,49.9,52.6,4.0,6.1,11.5,12.3,11.8,11.6,18.1,22.4
1400000US16055001201,Census Tract 12.01; Kootenai County; Idaho,20.5,29.8,17.7,19.0,6.9,88.3,11.7,11.7,8.3,3.4,0.2,3.2,0.0,99.0,1.0,1.7,14.8,278400.0,1188.0,27.6,28.5,3.2,0.0,35.0,51.0,7.7,8.6,19.8,6.5,3.4,6.1,33.0,14.2
1400000US16055001202,Census Tract 12.02; Kootenai County; Idaho,25.6,29.0,22.8,13.0,5.1,74.9,25.1,25.0,15.0,10.0,5.3,4.7,0.2,96.7,3.3,1.6,15.7,207900.0,842.0,42.2,9.5,0.0,0.0,41.6,44.8,6.9,15.7,12.3,9.8,7.1,7.4,21.6,18.8
1400000US16055001300,Census Tract 13; Kootenai County; Idaho,34.0,26.2,14.4,15.2,2.4,91.9,8.1,8.1,4.8,3.3,0.2,3.1,0.0,98.4,1.6,4.6,18.6,239000.0,1095.0,44.3,26.1,2.7,0.0,32.6,45.8,6.3,22.4,15.8,4.9,4.4,5.2,24.4,14.4
