geo_id,diff_state,diff_County,foreign,unemploy,poverty,rent,age,under18,over65,more_high_school,male
1400000US53063002000,3.5,3.2,7.7,10.7,36.0,9.17,35.5,24.4,11.6,62.99999999999999,51.7
1400000US53063002100,2.1,3.7,4.0,12.2,6.5,9.06,32.3,15.1,13.7,61.400000000000006,52.3
1400000US53063002300,2.6,0.0,2.9,4.9,21.8,10.15,44.2,11.2,20.1,64.5,53.4
1400000US53063002400,10.3,4.9,3.6,9.6,45.5,8.33,34.3,14.5,15.1,61.699999999999996,54.6
1400000US53063002501,11.5,6.1,5.3,5.7,43.3,7.5,23.4,5.9,6.3,66.5,57.8
1400000US53063002502,2.6,8.2,5.2,8.9,36.6,9.65,29.1,12.4,10.9,55.9,61.3
1400000US53063002503,23.7,24.2,6.2,20.3,57.4,25.51,19.8,0.6,0.0,42.4,54.5
1400000US53063002600,2.6,1.2,10.3,3.4,22.2,8.84,36.3,17.3,7.5,64.5,50.0
1400000US53063002900,0.5,2.3,13.8,5.7,6.6,14.02,34.4,23.3,13.0,65.69999999999999,49.8
1400000US53063003000,0.9,2.1,10.4,7.9,23.5,10.65,30.8,25.5,11.8,65.8,53.6
1400000US53063003100,2.7,4.6,7.1,5.0,23.0,10.76,34.0,20.8,9.4,83.5,44.7
1400000US53063003200,3.3,8.3,7.9,8.6,19.9,9.46,46.5,7.1,24.9,69.0,50.2
1400000US53063003500,11.4,2.7,2.8,12.7,51.6,5.04,49.8,3.1,18.0,68.2,56.9
1400000US53063003601,4.2,8.5,2.0,8.2,24.1,9.33,28.6,25.0,7.6,86.1,39.1
1400000US53063003602,1.2,2.7,4.4,7.1,20.0,7.43,36.4,3.4,14.9,74.2,55.1
1400000US53063003800,5.3,0.4,8.5,6.3,11.1,10.31,37.0,14.4,17.4,80.3,46.3
1400000US53063003900,13.8,0.9,4.5,8.7,12.4,14.92,48.4,20.0,29.2,78.0,47.4
1400000US53063004001,4.0,12.8,14.0,5.2,11.3,8.95,33.3,18.0,10.9,80.5,34.3
1400000US53063004002,7.4,2.0,0.0,3.7,12.8,8.41,34.1,11.3,7.6,77.5,52.4
1400000US53063004100,0.9,2.3,2.0,2.3,12.8,8.6,42.7,15.6,25.0,90.4,47.2
1400000US53063004200,3.0,2.8,5.7,7.8,5.0,12.29,43.6,22.2,18.7,89.9,48.5
1400000US53063004300,2.4,1.9,5.6,1.0,6.6,12.5,42.9,22.4,24.8,91.69999999999999,48.7
1400000US53063004400,2.4,1.8,2.7,2.4,4.6,12.74,38.8,20.1,21.7,86.89999999999999,48.8
1400000US53063004500,2.8,4.1,3.2,6.5,5.7,11.05,45.2,23.2,20.2,93.9,43.8
1400000US53063004601,1.5,1.0,5.0,3.9,11.4,8.03,52.2,19.2,34.7,76.2,49.8
1400000US53063004602,1.9,1.3,8.0,5.5,7.8,12.34,35.7,21.7,12.0,78.0,49.6
