geo_id,census_tract,pct_high_school,pct_some_college,pct_associate,pct_bachelor,pct_graduate,pct_same_house,pct_diff_house,pct_diff_house_us,pct_same_county,pct_diff_county,pct_diffCounty_sState,pct_diff_state,pct_abroad,pct_native,pct_foreign_born,unemploy_rate,pct_below_poverty,median_house_value,gross_rent_median,pct_renter_occupied,pct_houseValue300k,pct_houseValue500k,pct_houseValue1M,median_age,pct_male,pct_age2024,pct_age2534,pct_age3544,pct_age4554,pct_age5559,pct_age6064,pct_under18,pct_over65
1400000US53063001900,Census Tract 19; Spokane County; Washington,27.8,24.6,13.6,18.8,9.8,84.2,15.8,15.8,11.4,4.4,2.1,2.3,0.0,98.7,1.3,8.5,13.6,204700.0,1065.0,42.5,20.1,1.5,1.2,32.3,46.6,6.7,20.8,13.6,10.6,5.5,4.5,25.6,12.5
1400000US53063002000,Census Tract 20; Spokane County; Washington,25.9,32.9,15.2,10.3,4.6,85.0,15.0,15.0,8.3,6.7,3.2,3.5,0.0,92.3,7.7,10.7,36.0,160800.0,917.0,59.7,9.6,0.0,0.7,35.5,51.7,5.4,17.4,14.2,15.4,6.9,2.6,24.4,11.6
1400000US53063002100,Census Tract 21; Spokane County; Washington,30.1,22.9,18.6,10.2,9.7,79.5,20.5,20.5,14.7,5.8,3.7,2.1,0.0,96.0,4.0,12.2,6.5,180300.0,906.0,35.8,6.9,2.1,0.0,32.3,52.3,9.6,29.4,12.3,8.2,4.5,5.9,15.1,13.7
1400000US53063002300,Census Tract 23; Spokane County; Washington,28.4,21.8,12.8,18.4,11.5,82.7,17.3,16.8,14.2,2.6,0.0,2.6,0.5,97.1,2.9,4.9,21.8,161400.0,1015.0,34.8,13.6,7.6,0.0,44.2,53.4,7.3,16.1,15.5,8.8,11.3,7.5,11.2,20.1
1400000US53063002400,Census Tract 24; Spokane County; Washington,23.8,28.5,9.9,15.9,7.4,62.9,37.1,37.1,21.9,15.3,4.9,10.3,0.0,96.4,3.6,9.6,45.5,225600.0,833.0,88.0,0.0,6.1,6.1,34.3,54.6,8.0,26.2,13.4,11.7,4.0,4.3,14.5,15.1
1400000US53063002501,Census Tract 25.01; Spokane County; Washington,27.7,25.0,19.7,18.7,3.1,46.6,53.4,52.2,34.6,17.6,6.1,11.5,1.2,94.7,5.3,5.7,43.3,275000.0,750.0,76.9,1.8,39.7,0.0,23.4,57.8,43.1,21.5,2.7,5.9,4.5,4.3,5.9,6.3
1400000US53063002502,Census Tract 25.02; Spokane County; Washington,34.8,25.9,10.9,16.0,3.1,62.8,37.2,36.7,25.9,10.7,8.2,2.6,0.5,94.8,5.2,8.9,36.6,200600.0,965.0,71.2,17.5,0.0,0.0,29.1,61.3,19.9,28.7,9.0,8.3,5.9,1.7,12.4,10.9
1400000US53063002503,Census Tract 25.03; Spokane County; Washington,12.9,6.0,12.9,0.0,23.5,28.7,71.3,70.4,22.5,47.9,24.2,23.7,1.0,93.8,6.2,20.3,57.4,,2551.0,100.0,,,,19.8,54.5,35.9,1.3,0.6,1.7,2.1,0.9,0.6,0.0
1400000US53063002600,Census Tract 26; Spokane County; Washington,21.5,37.9,10.0,12.8,3.8,84.9,15.1,14.0,10.2,3.8,1.2,2.6,1.1,89.7,10.3,3.4,22.2,148700.0,884.0,54.0,5.6,1.0,0.0,36.3,50.0,13.8,16.0,17.9,12.5,5.3,8.1,17.3,7.5
1400000US53063002900,Census Tract 29; Spokane County; Washington,26.5,24.5,10.8,25.8,4.6,81.9,18.1,16.6,13.9,2.8,2.3,0.5,1.5,86.2,13.8,5.7,6.6,214600.0,1402.0,17.8,13.7,4.6,0.0,34.4,49.8,7.3,19.7,11.6,7.5,8.2,8.8,23.3,13.0
